epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,759.523,1.59683,1.29203,1.25258,0.98183,0.97692,0.98566,0.55833,1.4944,0.67436,1.26468,0.000555057,0.000555057,0.000555057
2,1502.49,1.52863,0.77204,1.30036,0.98355,0.98198,0.99069,0.56742,1.49465,0.56557,1.30341,0.00108873,0.00108873,0.00108873
3,2236.59,1.50899,0.70112,1.30382,0.97995,0.98325,0.98969,0.57127,1.52325,0.55371,1.30985,0.0016004,0.0016004,0.0016004
4,2971.05,1.48965,0.66955,1.30295,0.97676,0.98329,0.98932,0.58846,1.47402,0.53052,1.30406,0.00156798,0.00156798,0.00156798
5,3704.3,1.4639,0.6371,1.28984,0.98451,0.98955,0.99173,0.60378,1.47014,0.51551,1.29368,0.00153497,0.00153497,0.00153497
6,4437.21,1.44856,0.61264,1.27824,0.98127,0.98997,0.98959,0.60588,1.44385,0.49793,1.28671,0.00150197,0.00150197,0.00150197
7,5171.1,1.42679,0.59572,1.27118,0.9883,0.99176,0.9931,0.63089,1.38534,0.48087,1.26116,0.00146896,0.00146896,0.00146896
8,5904.59,1.4119,0.58173,1.2615,0.99031,0.99422,0.99217,0.63364,1.38773,0.47166,1.2548,0.00143595,0.00143595,0.00143595
9,6639.45,1.4074,0.57988,1.25925,0.98839,0.99562,0.99323,0.64198,1.38533,0.46074,1.25628,0.00140295,0.00140295,0.00140295
10,7373.19,1.39221,0.56866,1.25443,0.98995,0.99513,0.99366,0.64473,1.36477,0.45123,1.24938,0.00136994,0.00136994,0.00136994
11,8106.82,1.38242,0.56081,1.25283,0.99128,0.99537,0.99345,0.64516,1.3798,0.44376,1.24643,0.00133693,0.00133693,0.00133693
12,8840.56,1.37068,0.54783,1.2426,0.99304,0.99614,0.99365,0.65214,1.35848,0.43424,1.24113,0.00130393,0.00130393,0.00130393
13,9574.1,1.36611,0.54341,1.2342,0.99259,0.99648,0.9935,0.65446,1.36201,0.42861,1.24477,0.00127092,0.00127092,0.00127092
14,10307.9,1.35325,0.53323,1.23556,0.98783,0.99364,0.99217,0.65184,1.35595,0.43964,1.24149,0.00123791,0.00123791,0.00123791
15,11042.4,1.34975,0.53401,1.23468,0.99137,0.99614,0.9938,0.66127,1.32736,0.42964,1.22743,0.00120491,0.00120491,0.00120491
16,11775.4,1.34712,0.52944,1.23202,0.99085,0.99517,0.99272,0.65891,1.3395,0.4222,1.23229,0.0011719,0.0011719,0.0011719
17,12508.8,1.33988,0.52494,1.2268,0.99156,0.99563,0.99257,0.66553,1.32735,0.42116,1.22794,0.00113889,0.00113889,0.00113889
18,13242.7,1.32288,0.51678,1.2241,0.99341,0.99717,0.99401,0.66214,1.3197,0.41546,1.22412,0.00110589,0.00110589,0.00110589
19,13976.6,1.32523,0.51421,1.22397,0.9927,0.99614,0.99378,0.67524,1.31157,0.4066,1.21999,0.00107288,0.00107288,0.00107288
20,14710.4,1.32348,0.51379,1.21976,0.99384,0.99768,0.99417,0.66126,1.3104,0.40101,1.21344,0.00103987,0.00103987,0.00103987
21,15444,1.31296,0.50846,1.21558,0.99198,0.99622,0.99315,0.67628,1.31003,0.40204,1.21298,0.00100687,0.00100687,0.00100687
22,16178,1.3027,0.50431,1.21141,0.99431,0.99794,0.99412,0.67557,1.30187,0.4015,1.21372,0.000973861,0.000973861,0.000973861
23,16911.5,1.30311,0.50255,1.20914,0.99216,0.99666,0.99376,0.67515,1.30767,0.41271,1.21547,0.000940855,0.000940855,0.000940855
24,17645,1.29718,0.4982,1.20717,0.99398,0.99795,0.99403,0.67845,1.2953,0.39458,1.20913,0.000907848,0.000907848,0.000907848
25,18378.7,1.29148,0.49211,1.19907,0.99387,0.99743,0.99388,0.6825,1.29294,0.39106,1.20396,0.000874842,0.000874842,0.000874842
26,19113.7,1.28581,0.49282,1.20105,0.99321,0.99743,0.99412,0.68247,1.28346,0.39591,1.2025,0.000841835,0.000841835,0.000841835
27,19847.3,1.28465,0.49192,1.20166,0.9942,0.9982,0.99438,0.68312,1.29118,0.38872,1.20454,0.000808828,0.000808828,0.000808828
28,20580.6,1.27922,0.48245,1.19794,0.99418,0.99769,0.99374,0.68888,1.27608,0.38728,1.19575,0.000775822,0.000775822,0.000775822
29,21314.3,1.27543,0.48175,1.19455,0.99386,0.99797,0.99408,0.69001,1.27604,0.38456,1.19276,0.000742815,0.000742815,0.000742815
30,22048.2,1.26678,0.4754,1.1931,0.99354,0.99787,0.99344,0.68721,1.27638,0.38086,1.19719,0.000709809,0.000709809,0.000709809
